Estação,N__Lab_,X,Y,Folha,Ag (ppm),Al (%),As (ppm),Ba (ppm),Be,Bi (ppm),Ca (%),Cd (ppm),Ce (ppm),Co (ppm),Cr (ppm),Cs (ppm),Cu (ppm),Fe (%),Ga (ppm),Hf (ppm),Hg (ppm),In (ppm),K (%),La (ppm),Li (ppm),LREE (ppm),Mg (%),Mn (ppm),Mo (ppm),Nb (ppm),Ni (ppm),P (ppm),Pb (ppm),Rb (ppm),Sb (ppm),Sc (ppm),Sn (ppm),Sr (ppm),Th (ppm),Ti (%),U (ppm),V (ppm),W (ppm),Y (ppm),Zn (ppm),Zr (ppm)
AC-0040A,CDE 261,309858,7921157,Patos de Minas,0.05,3.1,6.0,217.0,1.9,0.32,0.07,0.09,105.62,20.1,79,2.36,39.6,5.8,11.0,0.16,0.04,0.11,0.16,34.6,10.0,140.22,0.07,544,1.19,2.9,41.8,870.0,20.9,18.8,0.57,9.8,2.1,15.3,9.0,0.06,1.69,94,0.1,7.78,61,12.2
AC-0041,CDE 262,312258,7918411,Patos de Minas,0.02,2.93,4.0,163.0,1.4,0.22,0.09,0.06,99.96,12.1,94,1.8,31.4,5.91,11.1,0.32,0.04,0.07,0.13,32.4,3.0,132.36,0.06,737,0.98,3.56,31.5,898.0,14.4,15.1,0.56,11.2,2.5,13.9,9.5,0.08,1.63,125,0.1,7.07,32,25.0
AC-0042,CDE 263,310746,7918587,Patos de Minas,0.08,3.5,6.0,245.0,1.7,0.26,0.11,0.14,102.28,34.3,107,2.34,42.9,8.07,12.0,0.4,0.04,0.03,0.21,33.5,9.0,135.78,0.11,2065,1.5,5.15,54.8,1158.0,17.9,19.8,0.56,12.4,2.7,20.2,9.8,0.11,1.7,130,0.2,8.69,50,30.2
AC-0043,CDE 264,309209,7916627,Patos de Minas,0.12,3.74,2.0,97.0,3.7,0.13,0.04,0.07,89.41,15.8,501,1.58,69.6,5.62,17.3,0.36,0.03,0.09,0.07,22.3,4.0,111.71,0.03,159,0.98,5.21,130.9,1352.0,8.5,6.6,0.46,17.3,3.9,19.2,8.4,0.13,2.48,186,0.2,21.9,49,23.0
AC-0044,CDE 265,314540,7917292,Patos de Minas,0.04,2.05,4.0,242.0,2.1,0.26,0.07,0.09,118.42,13.1,81,3.02,40.9,5.78,10.6,0.91,0.01,0.05,0.17,44.0,8.0,162.42,0.21,227,1.44,2.2,43.3,557.0,20.3,28.8,0.49,13.2,2.3,20.8,11.1,0.12,1.7,145,0.1,13.12,39,55.1
AC-0045,CDE 266,312312,7916103,Patos de Minas,0.08,3.16,2.0,150.0,1.4,0.09,0.13,0.05,135.1,20.3,533,0.79,39.3,5.9,12.2,0.24,0.03,0.08,0.03,34.6,1.0,169.7,0.09,365,1.41,5.73,119.7,1183.0,10.4,3.4,0.44,13.6,3.7,33.6,11.7,0.17,1.87,147,0.2,7.0,57,13.9
AC-0046,CDE 267,309915,7913907,Patos de Minas,0.07,1.58,3.0,299.0,1.7,0.05,0.14,0.1,103.31,47.6,281,0.88,47.1,7.6,8.3,0.53,0.01,0.06,0.04,38.4,1.0,141.71,0.1,1214,1.27,6.52,135.6,1676.0,7.2,7.6,0.28,11.4,2.5,47.3,8.2,0.16,1.56,124,0.2,10.11,42,25.3
AC-0047,CDE 268,315136,7912478,Patos de Minas,0.05,1.61,2.0,119.0,0.9,0.05,0.09,0.03,54.74,6.7,72,1.05,16.0,2.47,5.8,0.12,0.03,0.02,0.02,17.5,2.0,72.24,0.05,271,0.45,3.54,21.7,462.0,5.2,3.6,0.17,5.2,1.6,13.6,4.9,0.06,0.84,54,0.1,4.6,14,5.5
AC-0048,CDE 269,314578,7908161,Patos de Minas,0.07,2.08,3.0,301.0,2.2,0.12,0.17,0.14,154.87,61.6,389,1.62,36.5,6.22,8.7,0.34,0.04,0.02,0.14,62.7,7.0,217.57,0.51,489,1.36,11.52,349.4,1186.0,13.3,19.6,0.29,11.2,2.4,55.7,16.2,0.2,1.43,109,0.3,15.1,66,15.3
AC-0049,CDE 270,315094,7904547,Patos de Minas,0.04,1.85,3.0,347.0,2.3,0.07,0.1,0.08,111.57,32.0,140,1.83,36.8,5.75,8.4,0.49,0.03,0.02,0.14,46.8,4.0,158.37,0.27,965,0.75,7.28,91.2,1342.0,8.4,21.0,0.44,10.3,2.3,48.1,12.2,0.18,1.73,120,0.2,10.97,43,38.1
